tre:TRIREDRAFT_102382	ko:K01069
tre:TRIREDRAFT_105535	ko:K26159
tre:TRIREDRAFT_105557	ko:K05531
tre:TRIREDRAFT_105589	ko:K22255
tre:TRIREDRAFT_105593	ko:K17438
tre:TRIREDRAFT_105623	ko:K02136
tre:TRIREDRAFT_105636	ko:K15443
tre:TRIREDRAFT_105647	ko:K14822
tre:TRIREDRAFT_105692	ko:K26797
tre:TRIREDRAFT_105722	ko:K01673
tre:TRIREDRAFT_105771	ko:K18064
tre:TRIREDRAFT_105787	ko:K23319
tre:TRIREDRAFT_105832	ko:K11808
tre:TRIREDRAFT_105834	ko:K09242
tre:TRIREDRAFT_105884	ko:K17644
tre:TRIREDRAFT_105891	ko:K13137
tre:TRIREDRAFT_105931	ko:K12373
tre:TRIREDRAFT_105938	ko:K12872
tre:TRIREDRAFT_105956	ko:K01176
tre:TRIREDRAFT_105978	ko:K00838
tre:TRIREDRAFT_106014	ko:K17918
tre:TRIREDRAFT_106018	ko:K24127
tre:TRIREDRAFT_106037	ko:K15163
tre:TRIREDRAFT_106039	ko:K02979
tre:TRIREDRAFT_106067	ko:K04078
tre:TRIREDRAFT_106081	ko:K28035
tre:TRIREDRAFT_106113	ko:K17267
tre:TRIREDRAFT_106145	ko:K14998
tre:TRIREDRAFT_106147	ko:K22758
tre:TRIREDRAFT_106148	ko:K12592
tre:TRIREDRAFT_106150	ko:K18586
tre:TRIREDRAFT_106155	ko:K27349
tre:TRIREDRAFT_106205	ko:K11870
tre:TRIREDRAFT_106234	ko:K24195
tre:TRIREDRAFT_106237	ko:K10750
tre:TRIREDRAFT_106245	ko:K03781
tre:TRIREDRAFT_106250	ko:K18802
tre:TRIREDRAFT_106276	ko:K15463
tre:TRIREDRAFT_106297	ko:K14429
tre:TRIREDRAFT_106309	ko:K12846
tre:TRIREDRAFT_106331	ko:K20306
tre:TRIREDRAFT_106471	ko:K21642
tre:TRIREDRAFT_106473	ko:K03131
tre:TRIREDRAFT_106531	ko:K16185
tre:TRIREDRAFT_106533	ko:K20363
tre:TRIREDRAFT_106556	ko:K08139
tre:TRIREDRAFT_106595	ko:K03106
tre:TRIREDRAFT_106603	ko:K06682
tre:TRIREDRAFT_106640	ko:K02520
tre:TRIREDRAFT_106646	ko:K18660
tre:TRIREDRAFT_106680	ko:K11130
tre:TRIREDRAFT_106695	ko:K00387
tre:TRIREDRAFT_106730	ko:K15305
tre:TRIREDRAFT_106761	ko:K17907
tre:TRIREDRAFT_106769	ko:K22804
tre:TRIREDRAFT_106797	ko:K14570
tre:TRIREDRAFT_106801	ko:K10301
tre:TRIREDRAFT_106828	ko:K09131
tre:TRIREDRAFT_106885	ko:K00249
tre:TRIREDRAFT_106928	ko:K01539
tre:TRIREDRAFT_106962	ko:K12614
tre:TRIREDRAFT_107045	ko:K13108
tre:TRIREDRAFT_107058	ko:K14860
tre:TRIREDRAFT_107068	ko:K11593
tre:TRIREDRAFT_107082	ko:K15561
tre:TRIREDRAFT_107123	ko:K17805
tre:TRIREDRAFT_107124	ko:K27817
tre:TRIREDRAFT_107142	ko:K19305
tre:TRIREDRAFT_107205	ko:K28100
tre:TRIREDRAFT_107206	ko:K00988
tre:TRIREDRAFT_107239	ko:K10436
tre:TRIREDRAFT_107255	ko:K07943
tre:TRIREDRAFT_107258	ko:K13509
tre:TRIREDRAFT_107268	ko:K01070
tre:TRIREDRAFT_107323	ko:K04708
tre:TRIREDRAFT_107325	ko:K17784
tre:TRIREDRAFT_107335	ko:K14815
tre:TRIREDRAFT_107360	ko:K00472
tre:TRIREDRAFT_107383	ko:K02516
tre:TRIREDRAFT_107385	ko:K12820
tre:TRIREDRAFT_107402	ko:K00942
tre:TRIREDRAFT_107420	ko:K15360
tre:TRIREDRAFT_107479	ko:K14709
tre:TRIREDRAFT_107552	ko:K11559
tre:TRIREDRAFT_107554	ko:K00799
tre:TRIREDRAFT_107564	ko:K14324
tre:TRIREDRAFT_107567	ko:K11664
tre:TRIREDRAFT_107591	ko:K14532
tre:TRIREDRAFT_107601	ko:K17780
tre:TRIREDRAFT_107616	ko:K02307
tre:TRIREDRAFT_107680	ko:K01669
tre:TRIREDRAFT_107776	ko:K17743
tre:TRIREDRAFT_107781	ko:K24364
tre:TRIREDRAFT_107784	ko:K02882
tre:TRIREDRAFT_107805	ko:K03511
tre:TRIREDRAFT_107852	ko:K13953
tre:TRIREDRAFT_108012	ko:K01276
tre:TRIREDRAFT_108066	ko:K03123
tre:TRIREDRAFT_108069	ko:K05012
tre:TRIREDRAFT_108081	ko:K11557
tre:TRIREDRAFT_108082	ko:K17969
tre:TRIREDRAFT_108090	ko:K12623
tre:TRIREDRAFT_108158	ko:K23309
tre:TRIREDRAFT_108180	ko:K12737
tre:TRIREDRAFT_108183	ko:K12734
tre:TRIREDRAFT_108208	ko:K22485
tre:TRIREDRAFT_108216	ko:K13577
tre:TRIREDRAFT_108271	ko:K18633
tre:TRIREDRAFT_108299	ko:K14264
tre:TRIREDRAFT_108332	ko:K14856
tre:TRIREDRAFT_108398	ko:K00794
tre:TRIREDRAFT_108409	ko:K14847
tre:TRIREDRAFT_108421	ko:K02326
tre:TRIREDRAFT_108459	ko:K01955
tre:TRIREDRAFT_108463	ko:K02510
tre:TRIREDRAFT_108479	ko:K18599
tre:TRIREDRAFT_108481	ko:K18167
tre:TRIREDRAFT_108519	ko:K10577
tre:TRIREDRAFT_108533	ko:K11272
tre:TRIREDRAFT_108548	ko:K12597
tre:TRIREDRAFT_108555	ko:K17278
tre:TRIREDRAFT_108592	ko:K01254
tre:TRIREDRAFT_108640	ko:K17600
tre:TRIREDRAFT_108665	ko:K13800
tre:TRIREDRAFT_108706	ko:K12183
tre:TRIREDRAFT_108710	ko:K02152
tre:TRIREDRAFT_108732	ko:K00253
tre:TRIREDRAFT_108775	ko:K09448
tre:TRIREDRAFT_108827	ko:K15544
tre:TRIREDRAFT_108835	ko:K00863
tre:TRIREDRAFT_108840	ko:K11563
tre:TRIREDRAFT_108894	ko:K27411
tre:TRIREDRAFT_108914	ko:K13621
tre:TRIREDRAFT_108920	ko:K00344
tre:TRIREDRAFT_108950	ko:K03128
tre:TRIREDRAFT_109015	ko:K05544
tre:TRIREDRAFT_109022	ko:K03363
tre:TRIREDRAFT_109078	ko:K05954
tre:TRIREDRAFT_109086	ko:K13507
tre:TRIREDRAFT_109088	ko:K11585
tre:TRIREDRAFT_109122	ko:K16261
tre:TRIREDRAFT_109178	ko:K12842
tre:TRIREDRAFT_109187	ko:K00814
tre:TRIREDRAFT_109234	ko:K01266
tre:TRIREDRAFT_109278	ko:K01185
tre:TRIREDRAFT_109349	ko:K06123
tre:TRIREDRAFT_109378	ko:K01426
tre:TRIREDRAFT_109385	ko:K22384
tre:TRIREDRAFT_109397	ko:K04794
tre:TRIREDRAFT_109431	ko:K22611
tre:TRIREDRAFT_109435	ko:K02269
tre:TRIREDRAFT_109443	ko:K14844
tre:TRIREDRAFT_109457	ko:K03139
tre:TRIREDRAFT_109479	ko:K12606
tre:TRIREDRAFT_109492	ko:K26678
tre:TRIREDRAFT_109526	ko:K19001
tre:TRIREDRAFT_109531	ko:K01514
tre:TRIREDRAFT_109536	ko:K14776
tre:TRIREDRAFT_109560	ko:K14325
tre:TRIREDRAFT_109602	ko:K00777
tre:TRIREDRAFT_109619	ko:K21751
tre:TRIREDRAFT_109639	ko:K12849
tre:TRIREDRAFT_109652	ko:K04709
tre:TRIREDRAFT_109673	ko:K01684
tre:TRIREDRAFT_109677	ko:K08141
tre:TRIREDRAFT_109687	ko:K09484
tre:TRIREDRAFT_109708	ko:K23543
tre:TRIREDRAFT_109722	ko:K17794
tre:TRIREDRAFT_109724	ko:K00859
tre:TRIREDRAFT_109787	ko:K27385
tre:TRIREDRAFT_109797	ko:K05609
tre:TRIREDRAFT_109833	ko:K03019
tre:TRIREDRAFT_109837	ko:K24175
tre:TRIREDRAFT_109870	ko:K22909
tre:TRIREDRAFT_109876	ko:K14758
tre:TRIREDRAFT_109895	ko:K03544
tre:TRIREDRAFT_109908	ko:K20828
tre:TRIREDRAFT_109952	ko:K21440
tre:TRIREDRAFT_109998	ko:K00799
tre:TRIREDRAFT_110040	ko:K01613
tre:TRIREDRAFT_110133	ko:K15111
tre:TRIREDRAFT_110158	ko:K12389
tre:TRIREDRAFT_110170	ko:K00015
tre:TRIREDRAFT_110171	ko:K01251
tre:TRIREDRAFT_110293	ko:K18447
tre:TRIREDRAFT_110295	ko:K02954
tre:TRIREDRAFT_110317	ko:K01183
tre:TRIREDRAFT_110362	ko:K02332
tre:TRIREDRAFT_110396	ko:K17777
tre:TRIREDRAFT_110406	ko:K13239
tre:TRIREDRAFT_110409	ko:K14767
tre:TRIREDRAFT_110414	ko:K13524
tre:TRIREDRAFT_110423	ko:K12581
tre:TRIREDRAFT_110424	ko:K18624
tre:TRIREDRAFT_110444	ko:K14834
tre:TRIREDRAFT_110487	ko:K13210
tre:TRIREDRAFT_110491	ko:K19029
tre:TRIREDRAFT_110496	ko:K15903
tre:TRIREDRAFT_110499	ko:K05658
tre:TRIREDRAFT_110507	ko:K11676
tre:TRIREDRAFT_110509	ko:K11595
tre:TRIREDRAFT_110525	ko:K19828
tre:TRIREDRAFT_110535	ko:K08741
tre:TRIREDRAFT_110550	ko:K24726
tre:TRIREDRAFT_110586	ko:K14571
tre:TRIREDRAFT_110628	ko:K25304
tre:TRIREDRAFT_110631	ko:K03858
tre:TRIREDRAFT_110636	ko:K12881
tre:TRIREDRAFT_110663	ko:K01904
tre:TRIREDRAFT_110678	ko:K00793
tre:TRIREDRAFT_110753	ko:K20989
tre:TRIREDRAFT_110813	ko:K16261
tre:TRIREDRAFT_110826	ko:K26405
tre:TRIREDRAFT_110853	ko:K00799
tre:TRIREDRAFT_110882	ko:K20098
tre:TRIREDRAFT_110890	ko:K01749
tre:TRIREDRAFT_110893	ko:K23504
tre:TRIREDRAFT_110894	ko:K18579
tre:TRIREDRAFT_110899	ko:K01465
tre:TRIREDRAFT_110910	ko:K18637
tre:TRIREDRAFT_110931	ko:K10845
tre:TRIREDRAFT_110960	ko:K07827
tre:TRIREDRAFT_110974	ko:K25866
tre:TRIREDRAFT_111022	ko:K14960
tre:TRIREDRAFT_111023	ko:K14818
tre:TRIREDRAFT_111033	ko:K03952
tre:TRIREDRAFT_111053	ko:K11369
tre:TRIREDRAFT_111058	ko:K15303
tre:TRIREDRAFT_111074	ko:K00965
tre:TRIREDRAFT_111085	ko:K07511
tre:TRIREDRAFT_111102	ko:K01771
tre:TRIREDRAFT_111131	ko:K03239
tre:TRIREDRAFT_111138	ko:K15923
tre:TRIREDRAFT_111176	ko:K22763
tre:TRIREDRAFT_111194	ko:K03978
tre:TRIREDRAFT_111216	ko:K11419
tre:TRIREDRAFT_111226	ko:K14530
tre:TRIREDRAFT_111351	ko:K02858
tre:TRIREDRAFT_111357	ko:K00306
tre:TRIREDRAFT_111468	ko:K17260
tre:TRIREDRAFT_111502	ko:K03963
tre:TRIREDRAFT_111536	ko:K20457
tre:TRIREDRAFT_111564	ko:K07560
tre:TRIREDRAFT_111591	ko:K14263
tre:TRIREDRAFT_111600	ko:K12386
tre:TRIREDRAFT_111610	ko:K13124
tre:TRIREDRAFT_111644	ko:K14795
tre:TRIREDRAFT_111694	ko:K01273
tre:TRIREDRAFT_111724	ko:K02575
tre:TRIREDRAFT_111774	ko:K06679
tre:TRIREDRAFT_111787	ko:K17675
tre:TRIREDRAFT_111788	ko:K08515
tre:TRIREDRAFT_111799	ko:K13303
tre:TRIREDRAFT_111838	ko:K01279
tre:TRIREDRAFT_111890	ko:K14640
tre:TRIREDRAFT_111912	ko:K01673
tre:TRIREDRAFT_111922	ko:K11826
tre:TRIREDRAFT_111927	ko:K12274
tre:TRIREDRAFT_111953	ko:K01230
tre:TRIREDRAFT_112126	ko:K00140
tre:TRIREDRAFT_112140	ko:K01213
tre:TRIREDRAFT_112190	ko:K16466
tre:TRIREDRAFT_112211	ko:K12571
tre:TRIREDRAFT_112230	ko:K07443
tre:TRIREDRAFT_112233	ko:K10882
tre:TRIREDRAFT_112247	ko:K00052
tre:TRIREDRAFT_112271	ko:K00698
tre:TRIREDRAFT_112283	ko:K10427
tre:TRIREDRAFT_112292	ko:K14570
tre:TRIREDRAFT_112330	ko:K07734
tre:TRIREDRAFT_112346	ko:K11365
tre:TRIREDRAFT_112371	ko:K00942
tre:TRIREDRAFT_112384	ko:K14811
tre:TRIREDRAFT_112392	ko:K01181
tre:TRIREDRAFT_112413	ko:K10844
tre:TRIREDRAFT_112439	ko:K21631
tre:TRIREDRAFT_112441	ko:K20298
tre:TRIREDRAFT_112460	ko:K00624
tre:TRIREDRAFT_112463	ko:K02541
tre:TRIREDRAFT_112470	ko:K15222
tre:TRIREDRAFT_112519	ko:K06018
tre:TRIREDRAFT_112554	ko:K11684
tre:TRIREDRAFT_112556	ko:K14546
tre:TRIREDRAFT_112564	ko:K22503
tre:TRIREDRAFT_112633	ko:K07393
tre:TRIREDRAFT_119530	ko:K03026
tre:TRIREDRAFT_119548	ko:K02180
tre:TRIREDRAFT_119551	ko:K15084
tre:TRIREDRAFT_119554	ko:K14797
tre:TRIREDRAFT_119578	ko:K20369
tre:TRIREDRAFT_119592	ko:K01537
tre:TRIREDRAFT_119593	ko:K17292
tre:TRIREDRAFT_119600	ko:K12666
tre:TRIREDRAFT_119603	ko:K08964
tre:TRIREDRAFT_119609	ko:K01626
tre:TRIREDRAFT_119614	ko:K19800
tre:TRIREDRAFT_119616	ko:K22008
tre:TRIREDRAFT_119623	ko:K06176
tre:TRIREDRAFT_119626	ko:K02957
tre:TRIREDRAFT_119638	ko:K24962
tre:TRIREDRAFT_119658	ko:K14405
tre:TRIREDRAFT_119664	ko:K11835
tre:TRIREDRAFT_119679	ko:K07359
tre:TRIREDRAFT_119681	ko:K20047
tre:TRIREDRAFT_119695	ko:K10669
tre:TRIREDRAFT_119697	ko:K11240
tre:TRIREDRAFT_119707	ko:K20526
tre:TRIREDRAFT_119710	ko:K28027
tre:TRIREDRAFT_119721	ko:K11984
tre:TRIREDRAFT_119723	ko:K15296
tre:TRIREDRAFT_119724	ko:K17553
tre:TRIREDRAFT_119731	ko:K04077
tre:TRIREDRAFT_119735	ko:K00134
tre:TRIREDRAFT_119739	ko:K25059
tre:TRIREDRAFT_119742	ko:K14005
tre:TRIREDRAFT_119749	ko:K03105
tre:TRIREDRAFT_119757	ko:K13091
tre:TRIREDRAFT_119762	ko:K12472
tre:TRIREDRAFT_119767	ko:K17262
tre:TRIREDRAFT_119788	ko:K00290
tre:TRIREDRAFT_119789	ko:K08192
tre:TRIREDRAFT_119790	ko:K00469
tre:TRIREDRAFT_119800	ko:K23362
tre:TRIREDRAFT_119803	ko:K21989
tre:TRIREDRAFT_119816	ko:K21989
tre:TRIREDRAFT_119819	ko:K07297
tre:TRIREDRAFT_119830	ko:K10401
tre:TRIREDRAFT_119839	ko:K06035
tre:TRIREDRAFT_119845	ko:K15117
tre:TRIREDRAFT_119848	ko:K12874
tre:TRIREDRAFT_119854	ko:K18083
tre:TRIREDRAFT_119855	ko:K02985
tre:TRIREDRAFT_119859	ko:K01183
tre:TRIREDRAFT_119871	ko:K04513
tre:TRIREDRAFT_119879	ko:K23460
tre:TRIREDRAFT_119890	ko:K09584
tre:TRIREDRAFT_119896	ko:K00029
tre:TRIREDRAFT_119898	ko:K14539
tre:TRIREDRAFT_119903	ko:K13989
tre:TRIREDRAFT_119924	ko:K09562
tre:TRIREDRAFT_119931	ko:K10246
tre:TRIREDRAFT_119943	ko:K08596
tre:TRIREDRAFT_119954	ko:K01698
tre:TRIREDRAFT_119983	ko:K10881
tre:TRIREDRAFT_119991	ko:K13127
tre:TRIREDRAFT_120012	ko:K02896
tre:TRIREDRAFT_120020	ko:K02922
tre:TRIREDRAFT_120044	ko:K17255
tre:TRIREDRAFT_120051	ko:K03107
tre:TRIREDRAFT_120053	ko:K04043
tre:TRIREDRAFT_120064	ko:K17679
tre:TRIREDRAFT_120067	ko:K14022
tre:TRIREDRAFT_120070	ko:K19476
tre:TRIREDRAFT_120075	ko:K10573
tre:TRIREDRAFT_120079	ko:K00626
tre:TRIREDRAFT_120081	ko:K07562
tre:TRIREDRAFT_120088	ko:K01893
tre:TRIREDRAFT_120106	ko:K01823
tre:TRIREDRAFT_120117	ko:K09467
tre:TRIREDRAFT_120127	ko:K09184
tre:TRIREDRAFT_120143	ko:K03686
tre:TRIREDRAFT_120144	ko:K09528
tre:TRIREDRAFT_120147	ko:K06072
tre:TRIREDRAFT_120150	ko:K07827
tre:TRIREDRAFT_120152	ko:K15436
tre:TRIREDRAFT_120153	ko:K03028
tre:TRIREDRAFT_120154	ko:K00327
tre:TRIREDRAFT_120156	ko:K27804
tre:TRIREDRAFT_120172	ko:K15449
tre:TRIREDRAFT_120173	ko:K17770
tre:TRIREDRAFT_120176	ko:K00456
tre:TRIREDRAFT_120184	ko:K08516
tre:TRIREDRAFT_120195	ko:K00275
tre:TRIREDRAFT_120198	ko:K00688
tre:TRIREDRAFT_120219	ko:K01850
tre:TRIREDRAFT_120223	ko:K27898
tre:TRIREDRAFT_120228	ko:K09245
tre:TRIREDRAFT_120229	ko:K01181
tre:TRIREDRAFT_120235	ko:K03234
tre:TRIREDRAFT_120236	ko:K24965
tre:TRIREDRAFT_120260	ko:K02896
tre:TRIREDRAFT_120267	ko:K01807
tre:TRIREDRAFT_120272	ko:K03885
tre:TRIREDRAFT_120288	ko:K16066
tre:TRIREDRAFT_120294	ko:K11094
tre:TRIREDRAFT_120300	ko:K03522
tre:TRIREDRAFT_120312	ko:K01179
tre:TRIREDRAFT_120313	ko:K17973
tre:TRIREDRAFT_120332	ko:K17983
tre:TRIREDRAFT_120337	ko:K11548
tre:TRIREDRAFT_120371	ko:K03781
tre:TRIREDRAFT_120376	ko:K11886
tre:TRIREDRAFT_120378	ko:K00030
tre:TRIREDRAFT_120384	ko:K14855
tre:TRIREDRAFT_120388	ko:K20307
tre:TRIREDRAFT_120394	ko:K09493
tre:TRIREDRAFT_120402	ko:K06047
tre:TRIREDRAFT_120404	ko:K11121
tre:TRIREDRAFT_120412	ko:K12486
tre:TRIREDRAFT_120414	ko:K20523
tre:TRIREDRAFT_120424	ko:K01759
tre:TRIREDRAFT_120447	ko:K06662
tre:TRIREDRAFT_120473	ko:K09699
tre:TRIREDRAFT_120482	ko:K20705
tre:TRIREDRAFT_120486	ko:K04802
tre:TRIREDRAFT_120498	ko:K17605
tre:TRIREDRAFT_120510	ko:K02179
tre:TRIREDRAFT_120534	ko:K17275
tre:TRIREDRAFT_120539	ko:K00939
tre:TRIREDRAFT_120540	ko:K02973
tre:TRIREDRAFT_120545	ko:K04354
tre:TRIREDRAFT_120556	ko:K15118
tre:TRIREDRAFT_120566	ko:K14457
tre:TRIREDRAFT_120568	ko:K01689
tre:TRIREDRAFT_120570	ko:K15325
tre:TRIREDRAFT_120571	ko:K11884
tre:TRIREDRAFT_120605	ko:K12767
tre:TRIREDRAFT_120607	ko:K03251
tre:TRIREDRAFT_120618	ko:K15156
tre:TRIREDRAFT_120621	ko:K02917
tre:TRIREDRAFT_120627	ko:K05853
tre:TRIREDRAFT_120635	ko:K00615
tre:TRIREDRAFT_120646	ko:K00797
tre:TRIREDRAFT_120648	ko:K00477
tre:TRIREDRAFT_120650	ko:K02730
tre:TRIREDRAFT_120661	ko:K12394
tre:TRIREDRAFT_120675	ko:K15428
tre:TRIREDRAFT_120676	ko:K01194
tre:TRIREDRAFT_120712	ko:K09458
tre:TRIREDRAFT_120722	ko:K06269
tre:TRIREDRAFT_120730	ko:K17656
tre:TRIREDRAFT_120733	ko:K17781
tre:TRIREDRAFT_120737	ko:K11303
tre:TRIREDRAFT_120752	ko:K24976
tre:TRIREDRAFT_120753	ko:K10843
tre:TRIREDRAFT_120765	ko:K07511
tre:TRIREDRAFT_120779	ko:K02995
tre:TRIREDRAFT_120781	ko:K02991
tre:TRIREDRAFT_120784	ko:K01785
tre:TRIREDRAFT_120786	ko:K01640
tre:TRIREDRAFT_120789	ko:K07374
tre:TRIREDRAFT_120805	ko:K12609
tre:TRIREDRAFT_120807	ko:K07151
tre:TRIREDRAFT_120813	ko:K21768
tre:TRIREDRAFT_120828	ko:K18176
tre:TRIREDRAFT_120830	ko:K07374
tre:TRIREDRAFT_120833	ko:K02958
tre:TRIREDRAFT_120864	ko:K14556
tre:TRIREDRAFT_120868	ko:K02953
tre:TRIREDRAFT_120884	ko:K00601
tre:TRIREDRAFT_120893	ko:K26118
tre:TRIREDRAFT_120897	ko:K03507
tre:TRIREDRAFT_120899	ko:K17822
tre:TRIREDRAFT_120911	ko:K18107
tre:TRIREDRAFT_120922	ko:K03671
tre:TRIREDRAFT_120923	ko:K22721
tre:TRIREDRAFT_120940	ko:K12191
tre:TRIREDRAFT_120943	ko:K15371
tre:TRIREDRAFT_120952	ko:K00764
tre:TRIREDRAFT_120961	ko:K19356
